               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10428,              0.1005,            0.034708,             0.42793,             0.41232,             0.38816,             0.10374,            0.071943,            0.092965,            0.028038,             0.00145,             0.00145,             0.08695
                   1,            0.073802,            0.071583,            0.026157,             0.65472,             0.75816,             0.79084,               0.398,            0.066959,            0.064546,             0.02071,           0.0029098,           0.0029098,             0.07381
                   2,            0.070269,            0.065613,            0.019852,              0.8342,              0.8712,             0.92179,             0.49993,            0.060651,            0.062676,             0.01409,            0.004369,            0.004369,            0.060669
                   3,            0.066381,            0.065207,            0.015956,             0.65403,             0.80587,             0.75673,             0.36559,            0.051957,            0.058361,            0.011796,           0.0058271,           0.0058271,            0.047527
                   4,            0.062023,             0.06031,            0.014225,             0.66742,             0.85678,             0.89188,             0.48482,            0.058382,            0.058823,            0.011694,           0.0072835,           0.0072835,            0.034384
                   5,            0.059693,            0.062182,            0.013652,             0.89831,             0.85734,             0.95717,             0.63441,            0.046355,            0.057007,            0.010518,           0.0087379,           0.0087379,            0.021238
                   6,            0.056118,            0.058934,            0.013029,             0.81952,             0.95148,             0.87786,             0.62134,            0.046138,             0.05469,            0.010598,             0.00998,             0.00998,             0.00998
                   7,            0.053341,            0.056669,            0.012676,             0.98194,             0.98565,             0.99453,             0.62224,            0.042278,            0.050962,           0.0097761,             0.00998,             0.00998,             0.00998
                   8,            0.048706,            0.055328,            0.011991,             0.99412,             0.99296,             0.99486,             0.80215,            0.036799,              0.0467,           0.0093426,           0.0099728,           0.0099728,           0.0099728
                   9,             0.04456,            0.050381,             0.01138,             0.98886,             0.99503,              0.9946,              0.8053,            0.035155,             0.04529,            0.009267,           0.0099645,           0.0099645,           0.0099645
                  10,            0.041511,            0.047983,            0.010985,             0.99695,             0.99885,             0.99474,             0.77992,             0.03551,            0.045305,           0.0089215,           0.0099551,           0.0099551,           0.0099551
                  11,            0.043668,            0.049187,            0.011088,             0.99766,             0.99926,             0.99484,             0.78536,            0.035495,            0.045017,           0.0087148,           0.0099446,           0.0099446,           0.0099446
                  12,            0.041549,            0.047761,            0.010803,             0.99777,             0.99941,              0.9949,             0.83598,            0.032036,            0.042547,            0.008584,            0.009933,            0.009933,            0.009933
                  13,             0.03866,            0.046958,            0.010573,             0.99825,              0.9996,              0.9949,             0.83337,            0.031352,             0.04255,           0.0084954,           0.0099203,           0.0099203,           0.0099203
                  14,             0.03878,             0.04595,            0.010313,             0.99809,             0.99957,             0.99477,              0.8313,            0.032233,            0.042045,           0.0083383,           0.0099065,           0.0099065,           0.0099065
                  15,            0.038945,            0.045238,            0.010349,             0.99774,              0.9994,             0.99477,              0.8509,            0.029295,             0.04011,           0.0083711,           0.0098916,           0.0098916,           0.0098916
                  16,            0.037752,            0.044492,            0.010066,             0.99845,             0.99926,             0.99482,             0.84455,            0.030886,            0.040772,           0.0081717,           0.0098757,           0.0098757,           0.0098757
                  17,            0.036571,            0.043805,            0.010091,             0.99819,             0.99958,             0.99487,             0.86074,            0.029715,            0.039626,            0.008197,           0.0098586,           0.0098586,           0.0098586
                  18,            0.036206,            0.044276,           0.0098241,             0.99831,             0.99941,             0.99485,             0.82066,            0.031382,            0.041345,           0.0080974,           0.0098405,           0.0098405,           0.0098405
                  19,            0.037053,            0.044568,           0.0099758,             0.99891,             0.99911,             0.99482,             0.86235,            0.027937,            0.038402,           0.0079852,           0.0098213,           0.0098213,           0.0098213
                  20,            0.036542,            0.044391,           0.0098374,              0.9983,             0.99954,             0.99483,             0.86055,            0.028057,            0.038503,           0.0079773,           0.0098011,           0.0098011,           0.0098011
                  21,            0.034884,            0.043335,           0.0098694,             0.99837,             0.99941,              0.9949,             0.85691,            0.029172,            0.039159,           0.0079465,           0.0097798,           0.0097798,           0.0097798
                  22,            0.035883,            0.042683,           0.0098222,              0.9985,             0.99947,             0.99489,             0.84784,            0.029269,            0.039619,           0.0078694,           0.0097574,           0.0097574,           0.0097574
                  23,            0.035797,            0.043101,           0.0097444,             0.99834,             0.99941,             0.99487,             0.86803,            0.027249,            0.037764,           0.0079144,            0.009734,            0.009734,            0.009734
                  24,            0.034876,            0.043954,           0.0097221,             0.99851,             0.99943,             0.99489,             0.86293,            0.027719,            0.038119,           0.0077821,           0.0097095,           0.0097095,           0.0097095
                  25,            0.033853,            0.042178,            0.009636,              0.9987,              0.9994,             0.99486,             0.87648,            0.026623,            0.037013,           0.0079083,            0.009684,            0.009684,            0.009684
                  26,            0.033294,            0.040798,           0.0095383,             0.99862,             0.99947,             0.99486,             0.87276,            0.027175,            0.036835,           0.0077003,           0.0096575,           0.0096575,           0.0096575
                  27,            0.033523,            0.040988,           0.0094937,             0.99836,             0.99942,             0.99483,             0.87538,            0.026534,            0.036667,           0.0076862,           0.0096299,           0.0096299,           0.0096299
                  28,            0.033319,            0.040331,           0.0094385,             0.99858,             0.99941,             0.99493,             0.88294,            0.025794,            0.035817,           0.0077434,           0.0096013,           0.0096013,           0.0096013
                  29,            0.032733,            0.039994,           0.0093889,             0.99864,             0.99963,              0.9949,             0.86982,            0.026685,             0.03646,           0.0076988,           0.0095717,           0.0095717,           0.0095717
                  30,            0.033279,            0.040268,           0.0094309,             0.99855,             0.99942,             0.99493,             0.88195,            0.025248,            0.035686,           0.0076945,           0.0095411,           0.0095411,           0.0095411
                  31,            0.033173,            0.040108,           0.0094102,             0.99872,             0.99934,             0.99488,             0.88646,            0.026361,            0.035924,           0.0076294,           0.0095095,           0.0095095,           0.0095095
                  32,            0.031959,            0.039363,           0.0091485,             0.99819,             0.99956,              0.9949,             0.86548,            0.026669,            0.036513,           0.0076033,           0.0094769,           0.0094769,           0.0094769
                  33,            0.033315,             0.04115,           0.0093559,             0.99848,             0.99945,             0.99493,             0.88601,            0.024606,            0.034619,           0.0075396,           0.0094434,           0.0094434,           0.0094434
                  34,            0.031764,            0.039114,           0.0093187,             0.99855,             0.99943,             0.99491,             0.88735,            0.024823,            0.034518,           0.0075588,           0.0094088,           0.0094088,           0.0094088
                  35,            0.031828,            0.038558,           0.0091794,             0.99831,             0.99941,             0.99488,             0.88507,             0.02494,            0.034953,           0.0075805,           0.0093733,           0.0093733,           0.0093733
                  36,            0.033081,            0.040216,           0.0093681,             0.99825,             0.99963,             0.99491,             0.89063,            0.024715,            0.034953,           0.0075476,           0.0093369,           0.0093369,           0.0093369
                  37,            0.031619,            0.038735,           0.0092862,             0.99826,             0.99963,             0.99491,             0.86899,            0.026045,            0.036232,           0.0076045,           0.0092995,           0.0092995,           0.0092995
                  38,            0.032026,            0.039553,           0.0093175,             0.99832,             0.99941,             0.99494,             0.87924,            0.025815,            0.035904,           0.0075222,           0.0092611,           0.0092611,           0.0092611
                  39,             0.03214,            0.039249,           0.0093143,             0.99874,             0.99942,             0.99489,             0.89083,            0.024686,            0.034716,           0.0075413,           0.0092219,           0.0092219,           0.0092219
                  40,            0.030802,            0.037442,           0.0090313,             0.99872,              0.9994,             0.99493,             0.88543,            0.024598,            0.034328,           0.0075246,           0.0091817,           0.0091817,           0.0091817
                  41,            0.031816,            0.038756,           0.0092029,             0.99836,             0.99942,             0.99486,             0.88578,            0.024951,            0.034929,           0.0074268,           0.0091406,           0.0091406,           0.0091406
                  42,            0.031848,            0.039377,           0.0091561,             0.99854,              0.9994,              0.9949,             0.88093,            0.026115,            0.035634,           0.0074105,           0.0090986,           0.0090986,           0.0090986
                  43,            0.031514,            0.038662,           0.0091129,             0.99847,             0.99941,              0.9949,             0.89419,            0.024488,            0.034282,           0.0074369,           0.0090557,           0.0090557,           0.0090557
                  44,            0.031477,            0.038393,           0.0090868,             0.99851,              0.9994,             0.99493,             0.88451,            0.024662,             0.03429,           0.0074008,           0.0090119,           0.0090119,           0.0090119
                  45,            0.031221,            0.037422,           0.0090376,             0.99853,             0.99941,             0.99495,             0.88864,            0.025082,            0.034488,           0.0073865,           0.0089673,           0.0089673,           0.0089673
                  46,            0.030656,             0.03829,            0.009146,             0.99854,             0.99941,             0.99493,             0.89431,            0.024162,             0.03387,           0.0073441,           0.0089218,           0.0089218,           0.0089218
                  47,            0.030247,            0.036839,           0.0091251,              0.9984,              0.9994,             0.99495,             0.89838,            0.024074,            0.033517,           0.0073508,           0.0088755,           0.0088755,           0.0088755
                  48,             0.03067,            0.037354,           0.0089689,             0.99853,             0.99941,             0.99495,             0.89097,            0.024371,            0.033925,           0.0073578,           0.0088283,           0.0088283,           0.0088283
                  49,            0.030633,            0.038044,           0.0091006,             0.99845,             0.99941,             0.99491,             0.89115,            0.024699,            0.034135,            0.007393,           0.0087804,           0.0087804,           0.0087804
                  50,            0.029572,             0.03672,           0.0089165,             0.99855,             0.99947,             0.99494,             0.89272,            0.024474,            0.033999,           0.0073789,           0.0087316,           0.0087316,           0.0087316
                  51,             0.03064,            0.037417,           0.0090174,             0.99843,             0.99947,             0.99495,             0.89522,            0.024135,            0.033832,           0.0073207,            0.008682,            0.008682,            0.008682
                  52,            0.029899,            0.037067,           0.0089545,             0.99848,              0.9994,             0.99496,             0.89722,            0.023984,            0.033484,           0.0073246,           0.0086316,           0.0086316,           0.0086316
                  53,            0.030347,            0.037532,           0.0089656,             0.99836,             0.99943,             0.99492,             0.89995,            0.023871,            0.033364,           0.0072818,           0.0085805,           0.0085805,           0.0085805
                  54,            0.030093,            0.036658,           0.0089643,             0.99822,             0.99963,             0.99494,             0.89989,            0.023653,            0.033107,           0.0072749,           0.0085286,           0.0085286,           0.0085286
                  55,             0.03034,            0.036836,           0.0090646,             0.99855,             0.99934,             0.99495,             0.89646,            0.024217,            0.033864,           0.0073297,           0.0084759,           0.0084759,           0.0084759
                  56,            0.030076,            0.037293,           0.0088726,             0.99836,             0.99944,             0.99498,              0.8985,            0.023837,            0.033457,            0.007261,           0.0084225,           0.0084225,           0.0084225
                  57,            0.029247,            0.036125,           0.0088855,             0.99831,             0.99941,             0.99494,             0.89509,            0.023689,            0.033174,            0.007244,           0.0083684,           0.0083684,           0.0083684
                  58,              0.0292,            0.036357,           0.0087299,             0.99854,             0.99943,             0.99496,             0.89641,            0.024102,            0.033064,           0.0072116,           0.0083136,           0.0083136,           0.0083136
                  59,             0.03023,            0.037261,           0.0089146,             0.99845,             0.99943,             0.99497,             0.90351,            0.023369,            0.032684,           0.0072344,           0.0082581,           0.0082581,           0.0082581
                  60,            0.029156,            0.036981,           0.0088116,             0.99833,             0.99941,             0.99496,             0.90133,            0.023225,            0.032946,            0.007285,           0.0082019,           0.0082019,           0.0082019
                  61,            0.029221,            0.036426,           0.0087942,             0.99853,             0.99918,             0.99492,             0.89975,            0.023744,            0.033135,           0.0072239,            0.008145,            0.008145,            0.008145
                  62,            0.028591,            0.035355,           0.0088208,             0.99854,             0.99922,             0.99494,             0.90339,            0.023251,            0.032663,           0.0072523,           0.0080875,           0.0080875,           0.0080875
                  63,            0.028605,            0.035621,           0.0088942,             0.99828,             0.99926,             0.99495,             0.90049,            0.023781,            0.032953,           0.0072013,           0.0080294,           0.0080294,           0.0080294
                  64,            0.028968,            0.035548,           0.0088783,             0.99853,             0.99931,             0.99493,               0.905,            0.023227,            0.032593,           0.0072178,           0.0079706,           0.0079706,           0.0079706
                  65,            0.029011,            0.035836,           0.0088101,              0.9983,             0.99941,             0.99493,             0.90494,            0.023434,            0.032689,           0.0071981,           0.0079112,           0.0079112,           0.0079112
                  66,            0.029073,            0.035825,           0.0087282,             0.99829,             0.99941,             0.99493,             0.90115,            0.023523,            0.032554,            0.007216,           0.0078512,           0.0078512,           0.0078512
                  67,            0.029481,            0.036198,           0.0089137,             0.99833,              0.9994,             0.99494,             0.90317,             0.02341,            0.032819,            0.007205,           0.0077907,           0.0077907,           0.0077907
                  68,            0.028928,            0.035663,           0.0087983,             0.99845,             0.99941,             0.99496,             0.90808,             0.02309,             0.03237,           0.0072002,           0.0077296,           0.0077296,           0.0077296
                  69,            0.028238,            0.034818,           0.0087511,             0.99828,             0.99941,             0.99491,             0.90779,            0.023073,            0.032337,           0.0071706,           0.0076679,           0.0076679,           0.0076679
                  70,            0.028315,             0.03529,           0.0086248,             0.99836,             0.99934,             0.99494,             0.90501,             0.02318,             0.03254,           0.0071661,           0.0076057,           0.0076057,           0.0076057
                  71,            0.028504,            0.035051,           0.0086495,             0.99853,              0.9994,             0.99492,             0.90584,            0.023115,            0.032292,           0.0071304,            0.007543,            0.007543,            0.007543
                  72,            0.028461,            0.035558,           0.0087645,             0.99851,              0.9994,             0.99497,             0.90566,             0.02318,            0.032408,           0.0071433,           0.0074797,           0.0074797,           0.0074797
                  73,            0.028373,            0.035295,           0.0087005,             0.99849,             0.99932,             0.99495,             0.90541,            0.023284,            0.032353,            0.007113,            0.007416,            0.007416,            0.007416
                  74,            0.028236,              0.0348,            0.008649,             0.99826,             0.99941,             0.99492,             0.90465,            0.023373,            0.032518,            0.007111,           0.0073518,           0.0073518,           0.0073518
                  75,            0.027966,            0.034891,           0.0088252,             0.99846,             0.99941,             0.99492,             0.90943,            0.022853,            0.031871,           0.0071056,           0.0072872,           0.0072872,           0.0072872
                  76,            0.028024,            0.034653,           0.0086934,             0.99853,             0.99941,             0.99493,             0.90489,            0.022987,            0.032286,           0.0071305,           0.0072221,           0.0072221,           0.0072221
                  77,            0.027645,            0.035271,           0.0087557,             0.99834,              0.9994,             0.99492,             0.90891,            0.022923,            0.031886,           0.0070891,           0.0071566,           0.0071566,           0.0071566
                  78,            0.027622,            0.034169,           0.0087009,             0.99848,             0.99941,             0.99495,             0.91075,            0.022803,            0.031776,           0.0071117,           0.0070906,           0.0070906,           0.0070906
                  79,            0.028463,            0.035267,           0.0088006,             0.99833,             0.99941,             0.99494,             0.91162,            0.022702,            0.031699,           0.0071146,           0.0070243,           0.0070243,           0.0070243
                  80,            0.027978,            0.035021,           0.0086849,             0.99852,             0.99922,             0.99494,             0.90994,              0.0227,            0.031772,           0.0071039,           0.0069576,           0.0069576,           0.0069576
                  81,            0.027571,            0.034387,           0.0086474,             0.99852,             0.99941,             0.99492,             0.90991,            0.022807,            0.031576,           0.0070621,           0.0068906,           0.0068906,           0.0068906
                  82,            0.028023,            0.034602,           0.0086854,             0.99836,             0.99941,             0.99494,             0.91006,            0.022634,            0.031551,           0.0070666,           0.0068232,           0.0068232,           0.0068232
                  83,            0.027659,            0.034223,            0.008565,              0.9983,             0.99941,              0.9949,             0.90976,            0.022811,            0.031667,           0.0070589,           0.0067555,           0.0067555,           0.0067555
                  84,            0.027776,            0.034429,           0.0086226,             0.99835,             0.99941,             0.99492,             0.90997,            0.022674,            0.031615,           0.0070984,           0.0066874,           0.0066874,           0.0066874
                  85,            0.027184,            0.034077,           0.0086108,             0.99847,             0.99941,              0.9949,             0.91213,            0.022572,            0.031531,           0.0070898,           0.0066191,           0.0066191,           0.0066191
                  86,             0.02701,            0.033903,            0.008629,             0.99835,             0.99926,             0.99489,             0.91266,            0.022571,            0.031523,           0.0070769,           0.0065505,           0.0065505,           0.0065505
                  87,            0.026901,            0.032545,           0.0086345,             0.99835,             0.99944,              0.9949,             0.91281,            0.022583,            0.031315,           0.0070302,           0.0064816,           0.0064816,           0.0064816
                  88,            0.027047,             0.03267,           0.0086021,             0.99855,             0.99934,             0.99491,             0.91174,            0.022596,            0.031163,           0.0070489,           0.0064125,           0.0064125,           0.0064125
                  89,            0.026895,            0.033482,           0.0086283,             0.99833,             0.99929,             0.99492,             0.91165,            0.022617,            0.031217,           0.0070031,           0.0063432,           0.0063432,           0.0063432
                  90,            0.027174,            0.034361,           0.0086108,             0.99827,              0.9994,             0.99494,             0.91254,            0.022561,            0.031157,           0.0070223,           0.0062737,           0.0062737,           0.0062737
                  91,            0.027541,            0.033845,           0.0085928,             0.99836,             0.99932,             0.99492,             0.91193,            0.022522,            0.031332,           0.0070268,            0.006204,            0.006204,            0.006204
                  92,            0.027504,            0.034118,           0.0086675,             0.99835,             0.99941,              0.9949,             0.91298,            0.022501,            0.031432,           0.0070025,           0.0061341,           0.0061341,           0.0061341
                  93,            0.026825,            0.033799,           0.0086521,             0.99831,             0.99941,             0.99494,             0.91237,            0.022489,            0.031421,           0.0070173,            0.006064,            0.006064,            0.006064
                  94,            0.026979,            0.033305,           0.0086675,             0.99855,             0.99919,             0.99493,             0.91124,            0.022561,             0.03144,           0.0070474,           0.0059938,           0.0059938,           0.0059938
                  95,            0.026725,            0.032771,           0.0083885,             0.99832,              0.9994,             0.99493,             0.91225,             0.02261,            0.031387,           0.0070085,           0.0059235,           0.0059235,           0.0059235
                  96,             0.02694,            0.032708,           0.0086122,             0.99832,             0.99941,             0.99485,             0.91177,            0.022503,            0.031316,           0.0070064,           0.0058531,           0.0058531,           0.0058531
                  97,            0.026611,            0.033392,           0.0085356,             0.99837,             0.99947,              0.9949,             0.91391,            0.022509,            0.031337,           0.0070023,           0.0057826,           0.0057826,           0.0057826
                  98,            0.026664,            0.033045,           0.0084148,             0.99852,              0.9994,             0.99491,             0.91369,            0.022345,            0.030977,           0.0069705,            0.005712,            0.005712,            0.005712
